epoch,accuracy,loss,val_accuracy,val_loss
0,0.3681151270866394,1.3345270156860352,0.44092220067977905,1.284059762954712
1,0.6360365152359009,1.021795392036438,0.680115282535553,0.9237079620361328
2,0.7871574759483337,0.6024129986763,0.7262247800827026,0.7576823234558105
3,0.8394685983657837,0.4330480694770813,0.6945244669914246,0.7754001021385193
4,0.8746194243431091,0.3517681658267975,0.6945244669914246,0.8295395374298096
5,0.8945474624633789,0.29682794213294983,0.7060518860816956,0.8514979481697083
6,0.9147523045539856,0.2508765161037445,0.7060518860816956,0.9127228260040283
7,0.9302518963813782,0.2102183997631073,0.7031700015068054,0.9618152976036072
8,0.9468585848808289,0.17679661512374878,0.6916426420211792,1.0391809940338135
9,0.952117383480072,0.1531144082546234,0.6974063515663147,1.0769556760787964
10,0.9604207277297974,0.13616414368152618,0.7031700015068054,1.0959899425506592
11,0.9654027223587036,0.12143786996603012,0.6945244669914246,1.163661241531372
12,0.9698311686515808,0.11303676664829254,0.6945244669914246,1.2063528299331665
13,0.9695543646812439,0.10483058542013168,0.7089337110519409,1.2212272882461548
14,0.9687240719795227,0.10167263448238373,0.6858789920806885,1.3098936080932617
15,0.9706615209579468,0.09478121250867844,0.6685879230499268,1.2820611000061035
16,0.973429262638092,0.08554738014936447,0.7060518860816956,1.2920042276382446
17,0.973429262638092,0.0811784416437149,0.6974063515663147,1.3090521097183228
18,0.9723221659660339,0.08185933530330658,0.6974063515663147,1.3513208627700806
19,0.975643515586853,0.07365169376134872,0.6974063515663147,1.3864094018936157
20,0.9748131632804871,0.07119917124509811,0.6974063515663147,1.4021387100219727
21,0.9767506122589111,0.06583407521247864,0.6772334575653076,1.4449443817138672
22,0.9767506122589111,0.06693290174007416,0.6887608170509338,1.4226830005645752
23,0.9759202599525452,0.06868519634008408,0.7060518860816956,1.42601478099823
24,0.9753667116165161,0.06515346467494965,0.6945244669914246,1.504305362701416
